epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.8638,0.93147,1.99874,0.89288,0.26541,0.62468,0.33542,0.26679,0.58595,4.81113,0.64351,0.000313725,0.000313725,0.0689412
2,31.8008,0.81127,1.27291,0.86329,0.33915,0.67532,0.37477,0.30907,0.53748,5.12934,0.62858,0.000625706,0.000625706,0.0359198
3,35.8717,0.78752,1.18225,0.85584,0.39857,0.77293,0.48859,0.39534,0.52058,1.49583,0.62428,0.000915686,0.000915686,0.00287647
4,39.4787,0.79237,1.15082,0.85007,0.44352,0.76382,0.52048,0.42226,0.51276,0.95725,0.62263,0.000901,0.000901,0.000901
5,43.0294,0.75022,1.11815,0.84592,0.4462,0.84077,0.53258,0.43697,0.48519,0.88041,0.61812,0.000868,0.000868,0.000868
6,46.5912,0.76008,1.10969,0.84961,0.46944,0.88042,0.55259,0.44816,0.4866,0.80364,0.61747,0.000835,0.000835,0.000835
7,50.2086,0.72011,1.08178,0.84054,0.4713,0.88047,0.57187,0.47418,0.47092,0.77409,0.61374,0.000802,0.000802,0.000802
8,53.8275,0.72382,1.03657,0.83961,0.49182,0.85338,0.60714,0.50714,0.46204,0.73867,0.61375,0.000769,0.000769,0.000769
9,57.369,0.71016,1.00749,0.84253,0.51921,0.85851,0.65254,0.54504,0.46173,0.71219,0.61414,0.000736,0.000736,0.000736
10,60.9807,0.70412,0.9397,0.83676,0.55175,0.84342,0.70123,0.5806,0.4621,0.68287,0.61412,0.000703,0.000703,0.000703
11,64.7531,0.71051,0.88421,0.83773,0.65026,0.80048,0.76614,0.64516,0.44873,0.62304,0.61131,0.00067,0.00067,0.00067
12,68.2028,0.67809,0.81952,0.83089,0.7012,0.81853,0.80398,0.66263,0.48304,0.60793,0.61557,0.000637,0.000637,0.000637
13,71.6079,0.70691,0.75385,0.83807,0.76923,0.81582,0.85022,0.71246,0.4673,0.54436,0.61429,0.000604,0.000604,0.000604
14,74.9943,0.68675,0.70288,0.83556,0.7839,0.85633,0.87229,0.72837,0.45776,0.50605,0.61375,0.000571,0.000571,0.000571
15,78.603,0.6985,0.67517,0.83779,0.8647,0.88048,0.91848,0.77401,0.45021,0.45415,0.61107,0.000538,0.000538,0.000538
16,82.0856,0.67068,0.60156,0.83184,0.88359,0.85897,0.92865,0.77528,0.47534,0.43621,0.61489,0.000505,0.000505,0.000505
17,85.5551,0.68124,0.57993,0.83413,0.8955,0.87515,0.94022,0.79304,0.45238,0.41823,0.61242,0.000472,0.000472,0.000472
18,89.0971,0.66971,0.57432,0.83469,0.90849,0.88644,0.95108,0.80574,0.45019,0.39388,0.61218,0.000439,0.000439,0.000439
19,92.5738,0.65373,0.54539,0.82702,0.919,0.90492,0.94753,0.80621,0.43499,0.37775,0.60895,0.000406,0.000406,0.000406
20,96.0931,0.6573,0.52888,0.83336,0.92125,0.91707,0.94769,0.80577,0.43368,0.36316,0.60947,0.000373,0.000373,0.000373
21,101.131,0.63654,0.48671,0.8263,0.91516,0.9199,0.95844,0.80472,0.44458,0.35379,0.61121,0.00034,0.00034,0.00034
22,104.567,0.63642,0.47241,0.82389,0.94316,0.91664,0.95966,0.81785,0.43104,0.34416,0.60953,0.000307,0.000307,0.000307
23,108.225,0.62377,0.45802,0.81449,0.94422,0.91984,0.96524,0.8158,0.44374,0.33773,0.61086,0.000274,0.000274,0.000274
24,111.539,0.62335,0.44142,0.82033,0.9403,0.93849,0.9701,0.8301,0.42713,0.33023,0.60847,0.000241,0.000241,0.000241
25,114.933,0.61992,0.43219,0.82418,0.94223,0.93279,0.97251,0.8276,0.42818,0.32204,0.60849,0.000208,0.000208,0.000208
26,118.369,0.61325,0.43679,0.81821,0.9467,0.93647,0.97247,0.83251,0.4235,0.3183,0.60849,0.000175,0.000175,0.000175
27,121.891,0.60082,0.43159,0.82,0.95255,0.93532,0.9718,0.83314,0.42493,0.31613,0.60803,0.000142,0.000142,0.000142
28,125.396,0.61014,0.43014,0.82134,0.9517,0.94411,0.97605,0.8365,0.41727,0.31038,0.60731,0.000109,0.000109,0.000109
29,128.786,0.59451,0.41291,0.81728,0.95736,0.93522,0.97629,0.83704,0.41735,0.30968,0.60745,7.6e-05,7.6e-05,7.6e-05
30,131.966,0.61235,0.41293,0.81697,0.95622,0.93265,0.9766,0.83774,0.42015,0.3107,0.60762,4.3e-05,4.3e-05,4.3e-05
