model_name,scs,l3_weight_cuts,l3_output_cuts,lcus,weights,ops_per_image,macs_per_image,total_4bit_macs_per_frame,pure_ops_per_image,pure_macs_per_image,power,fps,subclusters_per_target,l3_cuts_per_target,layers_per_target,l2_cuts_per_target_normalized,l2_cuts_used_normalized,profiling_mode,layers,l3_total_cuts,net_input_throughput,gross_input_throughput,net_output_throughput,gross_output_throughput,latency,input_aligners,input_aligners_per_target,apus,apus_per_target,l4_cuts,l4_cuts_per_target,l2_weights,l2_data_usage,l2_cuts_per_target,number_of_devices,number_of_contexts,calibration,transpose,resize_input,normalization,input_conversion,nms,optimization_level,compression_level,compression_rate,hw_arch,stream_fps,optimization_goal_fps,context_switch_configs,l2_cut_size,l3_cut_size,l4_cut_size
yolov8n-seg,349,46,315,131,3258243.0,11343974400.0,5691464400.0,0.0,11973120000.0,6006037200.0,,730.47,512,1024,128,256.0,174.5,post_placement,118,361,856.02 Megabytes/sec,856.02 Megabytes/sec,1.11 Gigabytes/sec,1.11 Gigabytes/sec,3.35,143,256,123,160,10,28,1914752,626560,512,2,1,64,False,False,True,False,False,2,0,N/A,hailo8,,,,16384.0,32768.0,131072.0

context_name,csw_scs_mac_util,b8_csw_scs_mac_util, ,lcu_util,l3_util,mapping_util,active_mac_util,width_align_util,feature_align_util,balance_fps_util,mac_layers_util,effective_mac_util,scs_mac_util, ,fps,1/fps (s),drain (s),latency_util,b8_latency_util, ,context_overhead,overhead_util,b8_overhead_util,total_mac_util,b8_total_mac_util,boundary_in_bytes,boundary_out_bytes,inter_context_in_bytes,inter_context_out_bytes,ddr_portals_in_bytes,ddr_portals_out_bytes
contexts_total,0.13504379874776443,0.279598252305996,,,,0.681640625,0.8059025745949251,0.9777815687051727,0.9865479301215123,0.6776333099833043,0.9283667621776505,0.5215956760830394,0.33007226377129834,,no runtime data,no runtime data,N/A,0.40913403993658204,0.8470819362747942,,no runtime data,no runtime data,no runtime data,no runtime data,no runtime data,1228800.0,1634000.0,0.0,0.0,0.0,0.0
yolov8n-seg_context_0,0.13504379874776443,0.279598252305996,,0.9609375,0.3525390625,0.681640625,0.8059025745949251,0.9777815687051727,0.9865479301215123,0.6776333099833043,0.9283667621776505,0.5215956760830394,0.33007226377129834,,730.4681935886807,0.0013689849999999999,0.00197707,0.40913403993658204,0.8470819362747942,,single context,,,,,1228800.0,1634000.0,0.0,0.0,0.0,0.0

layer_name,layer_type,input_height,input_width,output_channels,input_channels,kernel_height,kernel_width,strides_row,strides_col,predecessors,successors,weights,macs,power,fps,total cycles,theoretical cycles,scs,apus,input_aligners,of_per_sc,of_per_mac,l3_output_cuts,l2_weights_usage_ratio,groups,dilation_height,dilation_width,16x4_configuration,elementwise_feed_repeat,ew_add_enabled,defuse_mode,node_layer_input_bw,node_layer_output_bw,defuse_name,l3_weight_cuts,l4_cuts,lcus,node_layer_latency,deprecated,output_features_per_sc,mac_computation_utilization,apu_activation_utilization,subcluster_utilization,buffers_num,buffer_size,context,did_reach_fps,latency,l2_weights,ops,l2_data_usage,input_activation_bits,input_range_min,input_range_max,kernel_range_min,kernel_range_max,output_range_min,output_range_max,output_activation_bits,weights_bits,bias_bits,active_mac_util,width_align_util,feature_align_util,balance_fps_util,mac_layers_util,effective_mac_util,is_4bit_enhanced,is_smuffer_in,is_smuffer_out
conv7,conv,160,160,64,32,3,3,2,2,conv6,conv_feature_splitter2_1 conv_feature_splitter2_2,18496.0,118374400.0,,737.20,542594,230400.0,8,1,1,8,1,2,1,1,1,1,False,,False,,598.3995361328125,299.19976806640625,yolov8n-seg/conv7,0,0,1,1.35198,0,8,0.4341183304786682,0.09436152875423431,0.43015446007031216,2,5120,yolov8n-seg_context_0,False,0.0014145075,18496.0,235929600.0,10240,8,-0.3731614351272583,31.34556007385254,-0.4424627721309662,0.2648940086364746,-0.2966436445713043,10.509659767150879,8,8,16,0.4341183304786682,1.0,1.0,0.9908691475801416,1.0,0.43015446007031216,False,False,False
conv_feature_splitter2_1,conv,80,80,32,64,1,1,1,1,conv7,concat2,2080.0,13312000.0,,1621.13,246741,204800.0,1,1,1,32,4,1,1,1,1,1,False,,False,,299.19976806640625,149.59988403320312,yolov8n-seg/conv_feature_splitter2_1,0,0,1,1.3419975,0,32,0.8559582829475403,0.1037525162100792,0.38568721113226045,1,2560,yolov8n-seg_context_0,False,0.001422215,2080.0,26214400.0,0,8,-0.2966436445713043,10.509659767150879,-1.657428503036499,1.6165839433670044,-0.48309221863746643,7.729475498199463,8,8,16,0.8559582829475403,1.0,1.0,0.45059113138566165,1.0,0.38568721113226045,False,False,False
conv_feature_splitter2_2,conv,80,80,32,64,1,1,1,1,conv7,conv9 ew_add2 concat2,2080.0,13312000.0,,1621.13,246741,204800.0,1,1,1,32,4,2,1,1,1,1,False,,False,,299.19976806640625,149.59988403320312,yolov8n-seg/conv_feature_splitter2_2,0,0,1,1.3419975,0,32,0.8559582829475403,0.1037525162100792,0.38568721113226045,24,2560,yolov8n-seg_context_0,False,0.001422215,2080.0,26214400.0,0,8,-0.2966436445713043,10.509659767150879,-0.645323634147644,0.4187641143798828,-0.3439100682735443,5.502561092376709,8,8,16,0.8559582829475403,1.0,1.0,0.45059113138566165,1.0,0.38568721113226045,False,False,False
conv9,conv,80,80,32,32,3,3,1,1,conv_feature_splitter2_2,conv10,9248.0,59187200.0,,744.56,537233,460800.0,2,1,2,16,2,2,1,1,1,1,True,,False,,149.59988403320312,149.59988403320312,yolov8n-seg/conv9,0,0,1,1.3666225,0,16,0.886728823184967,0.04765157774090767,0.869951069343582,2,2560,yolov8n-seg_context_0,False,0.0014545475,9248.0,117964800.0,10240,8,-0.3439100682735443,5.502561092376709,-1.10465407371521,1.1294970512390137,-0.30790382623672485,7.543643951416016,8,8,16,0.886728823184967,1.0,1.0,0.9810790476155693,1.0,0.869951069343582,False,False,False
conv10,conv,80,80,32,32,3,3,1,1,conv9,ew_add2,9248.0,59187200.0,,744.56,537233,460800.0,2,1,2,16,2,2,1,1,1,1,True,,False,,149.59988403320312,149.59988403320312,yolov8n-seg/conv10,0,0,1,1.3661375,0,16,0.886728823184967,0.04765157774090767,0.869951069343582,2,2560,yolov8n-seg_context_0,False,0.001487355,9248.0,117964800.0,10240,8,-0.30790382623672485,7.543643951416016,-1.0476981401443481,0.6079585552215576,-0.28839951753616333,6.397225379943848,8,8,16,0.886728823184967,1.0,1.0,0.9810790476155693,1.0,0.869951069343582,False,False,False
ew_add2,ew_add,80,80,32,32,,,,,conv_feature_splitter2_2 conv10,conv11 ew_add3 concat2,0,102400.0,,5074.92,78819,,1,1,1,32,0,2,0.0,,,,False,,False,,149.59988403320312,0.0,yolov8n-seg/ew_add2,1,0,1,1.335305,0,32,0.6495895385742188,0.3247947692871094,0.09349992483643238,24,2560,yolov8n-seg_context_0,False,0.001489815,0,204800.0,0,8,-0.3439100682735443,5.502561092376709,N/A,N/A,-0.6606031060218811,10.569649696350098,8,8,16,0.6495895385742188,1.0,1.0,0.14393693137616556,1.0,0.09349992483643238,False,False,False
conv11,conv,80,80,32,32,3,3,1,1,ew_add2,conv12,9248.0,59187200.0,,744.56,537233,460800.0,2,1,2,16,2,2,1,1,1,1,True,,False,,149.59988403320312,149.59988403320312,yolov8n-seg/conv11,0,0,1,1.3656525,0,16,0.886728823184967,0.04765157774090767,0.869951069343582,2,2560,yolov8n-seg_context_0,False,0.0015226225,9248.0,117964800.0,10240,8,-0.6606031060218811,10.569649696350098,-0.39162617921829224,0.4856642186641693,-0.29947662353515625,7.33717679977417,8,8,16,0.886728823184967,1.0,1.0,0.9810790476155693,1.0,0.869951069343582,False,False,False
conv12,conv,80,80,32,32,3,3,1,1,conv11,ew_add3,9248.0,59187200.0,,744.56,537233,460800.0,2,1,2,16,2,2,1,1,1,1,True,,False,,149.59988403320312,149.59988403320312,yolov8n-seg/conv12,0,0,1,1.3651675,0,16,0.886728823184967,0.04765157774090767,0.869951069343582,2,2560,yolov8n-seg_context_0,False,0.00155543,9248.0,117964800.0,10240,8,-0.29947662353515625,7.33717679977417,-1.6983102560043335,1.2062604427337646,-0.315164178609848,15.758209228515625,8,8,16,0.886728823184967,1.0,1.0,0.9810790476155693,1.0,0.869951069343582,False,False,False
ew_add3,ew_add,80,80,32,32,,,,,ew_add2 conv12,concat2,0,102400.0,,5074.92,78819,,1,1,1,32,0,1,0.0,,,,False,,False,,149.59988403320312,0.0,yolov8n-seg/ew_add3,1,0,1,1.334335,0,32,0.6495895385742188,0.3247947692871094,0.09349992483643238,12,2560,yolov8n-seg_context_0,False,0.00155789,0,204800.0,0,8,N/A,N/A,N/A,N/A,-1.1896488666534424,19.034381866455078,8,8,16,0.6495895385742188,1.0,1.0,0.14393693137616556,1.0,0.09349992483643238,False,False,False
concat2,concat,80|80|80|80,80|80|80|80,128,32|32|32|32,,,,,conv_feature_splitter2_1 conv_feature_splitter2_2 ew_add2 ew_add3,conv13,0,0,,3500.33,114275,,1,1,1,128,0,1,1,,,,False,,False,,149.59988403320312,0.0,yolov8n-seg/concat2,0,0,1,1.3410725,0,128,0.8960840106010437,0.8960840106010437,0.18699985812743436,32,1024,yolov8n-seg_context_0,False,0.0015670875,0,0,0,8,N/A,N/A,N/A,N/A,-1.1896488666534424,19.034381866455078,8,8,8,0.8960840106010437,1.0,1.0,0.20868563205586624,0.0,0.18699985812743436,False,False,True
